userId,contId,conTitle,conDescription,conPalabras,conTemplate,temType,temComp,recWritingTips,publiPlatform
86,186,Tuesday Promo: Pizza and Beer Night!,"Today is Tuesday, and it's PROMO + PIZZA AND BEER night! Imagine winning 1 ticket to our Happy Hour Night tonight, with unlimited beer and pizza? We're giving you that chance! To participate, just like our page, like this post, and tag 2 friends in the comments. Then just wait for the result, which will be announced today at 5:30 pm. Good luck!  Prize valid only for tonight's Happy Hour.",64,Promotional Event Template,Facebook Post,1,Engage audience: 'Join us for Tuesday's Pizza and Beer Night! Win a ticket to our Happy Hour by following simple steps.',Facebook
87,187,Sunday Special: Pizza Buffet Giveaway!,"Who said there are no promotions on Sundays?! Imagine winning 1 TICKET TO OUR PIZZA BUFFET today? We're giving you that chance! To participate, just like our page, like this post, and tag 2 friends in the comments. Then just wait for the result, which will be announced today at 5:30 pm. Good luck!  Prize valid only for today's pizza buffet.",66,Weekend Promo Template,Facebook Post,1,Create excitement: 'Win a ticket to our Sunday Pizza Buffet! Participate now by following simple steps.',Facebook
88,188,Friendship Day Celebration!,"It's Friendship Day! Check out this promotion: Imagine winning Open Bar at Studio Pub for you and your friend? We're giving you that chance! To participate: 1. Like our page 2. Like this post 3. Tag your friend in the comments. Then just wait for the result, which will be announced today at 6 pm. Good luck!  Prize valid only for today.",70,Friendship Day Promo Template,Facebook Post,1,Promote camaraderie: 'Celebrate Friendship Day with a chance to win Open Bar at Studio Pub for you and your friend!',Facebook
89,189,Free Entry at Mormaço on Friday Night!,FREE ENTRY on Friday 22 at Mormaço. Normal party at night. Just put your names in the comments below & get free entry until 11 pm. Birthday list until 11:30 pm ,33,Friday Night Special Template,Facebook Post,1,Offer exclusivity: 'Join us for Free Entry at Mormaço on Friday Night! Comment your names below for entry.',Facebook
93,193,Dream Wedding or Single Life?,"I dreamed I was getting married. I woke up in despair. Married life is good, but single life is better...  Haha, and who said only couples celebrate June 12th?! Here, the party is for those who are happily single or for those looking to find a match, kiss, and enjoy a fun night filled with surprises. Bring your friends or your partner and enjoy the night with cold beer, chat, dance, and stretch this day of love in all its forms!  Tag your single friends and enter to win a combo of 4 beer towers and 2 appetizers!!  Tag your partner and enter to win a bottle of chandon and a special appetizer. #June12th #StationForYou #BecauseHereTheImportantThingIsToCelebrate #ComeAlong #BringYourPartners #ComeEnjoy #WhoKnows #InviteYourLove #BreakTheRoutine",108,Celebration Event Template,Facebook Post,1,"Engage both singles and couples: 'Celebrate June 12th with us, whether you're single or with a partner! Join the fun and win great prizes.'",Facebook
94,194,Wednesday Forró Night!,"Come and enjoy a super lively Wednesday with Xote Turbinado, don't miss out on the contagious and danceable rhythm!!! Starting at 10:30 pm, an Authentic forró pé de serra to dance close and also enjoy the promotion on the 3.5L tower of beer (Antarctica, Skol, or Schin) for R$29.00. Drawing of 5 towers among those who comment: 'Every Wednesday at the bar is Xote Turbinado night.' #Forrozin #XoteTurbinado #BotecoDoSorriso #BotecoVIP",57,Event Night Promotion Template,Facebook Post,1,"Promote event atmosphere: 'Join us for a lively Wednesday night with Xote Turbinado! Dance, enjoy promotions, and win prizes.'",Facebook
107,207,Sunday Burger,Call the gang to El Patron! Come and try the most surprising gourmet burgers! Every Sunday At 6:30 PM Delivery: (91) 3348-6800! . . . #SundayBurgerElPatron #ElPatron #Burger #Top #BurgerLovers,34,Event Promotion Template,Facebook Post,1,Highlight special offers: 'Join us for Sunday Burger at El Patron and enjoy gourmet burgers! Call for delivery.',Facebook
108,208,90s Generation Night,"Let's agree that the generation born in the 90s deserves more space in the city's nightlife, right? Thinking about this, Studio Pub prepared a special event for those who enjoy an Indie night to reminisce about adolescence. Indie is also Rock!! On March 9th, the biggest Indie bands will make your night happier with their most touching hits! You only live once, so how about stopping crying your heart out and coming to enjoy these shows by Oasis, The Strokes, and Arctic Monkeys cover bands with us? R U Mine on Friday? Tickets: Advance: R$15 Where to buy: Studio Pub - Tv. Presidente Pernambuco, 277. From Tuesday to Friday, starting at 6 PM. Entry exclusive for 18+ with official photo ID. Note: We will no longer accept IDs with child photos or damaged IDs due to identification difficulties. More information: Tel: 3252-1413 / 91 99161-3677 Instagram: @studiopubbelem | Facebook: studiopubbelem",130,Event Promotion Template,Facebook Post,1,"Highlight nostalgia and fun: 'Join us for a night of Indie rock with covers of Oasis, The Strokes, and Arctic Monkeys! Get your tickets now.'",Facebook
109,209,Kurt Cobain Birthday Celebration,"We're celebrating Kurt Cobain's birthday here at Studio Pub! The king of Seattle would be turning 51 this year, but Friday is not a day to be sad, right? To liven up our party, Nirvana and Pearl Jam Cover bands will play the biggest Grunge hits to relive the 90s. Start warming up your voice to sing along, and we'll see you on the 23rd at Studio Pub! Tickets: Advance: R$15 Where to buy: Studio Pub - Tv. Presidente Pernambuco, 277. From Tuesday to Friday, starting at 6 PM. Entry exclusive for 18+ with official photo ID. Note: We will no longer accept IDs with child photos or damaged IDs due to identification difficulties. More information: Tel: 3252-1413 / 91 99161-3677 Instagram: @studiopubbelem | Facebook: studiopubbelem",122,Event Promotion Template,Facebook Post,1,Create excitement: 'Celebrate Kurt Cobain's birthday with us and enjoy Grunge hits by Nirvana and Pearl Jam cover bands! Get your tickets now.',Facebook
110,210,National Rock Night,"Miss the good old national rock 'n' roll? We get it! Get ready for some distortion on February 2nd because the bands Alta Frequência and Rock N’ Trio will bring back the best hits from Detonautas, Raimundos, O Rappa, and CPM 22! A special tribute to unforgettable music! Tickets: Advance: R$15 Where to buy: Studio Pub - Tv. Presidente Pernambuco, 277. From Tuesday to Friday, starting at 6 PM. Entry exclusive for 18+ with official photo ID. Note: We will no longer accept IDs with child photos or damaged IDs due to identification difficulties. More information: Tel: 3252-1413 / 91 99161-3677 Instagram: @studiopubbelem | Facebook: studiopubbelem",104,Concert Promotion Template,Facebook Post,1,"Highlight nostalgia and fun: 'Join us for a night of national rock with hits from Detonautas, Raimundos, O Rappa, and CPM 22! Get your tickets now.'",Facebook
